exit_time,pnl,symbol,regime,side,strategy_id,stage
2025-01-01 00:00:00+00:00,-1.590886,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-01 12:00:00+00:00,1.235045,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-02 00:00:00+00:00,0.964672,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-02 12:00:00+00:00,1.70973,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-03 00:00:00+00:00,-0.42457,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-03 12:00:00+00:00,0.530081,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-04 00:00:00+00:00,0.283963,ASSET_A,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-04 12:00:00+00:00,0.378781,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-05 00:00:00+00:00,0.296226,ASSET_C,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-05 12:00:00+00:00,1.529201,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-06 00:00:00+00:00,-0.361299,ASSET_B,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-06 12:00:00+00:00,1.390348,ASSET_C,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-07 00:00:00+00:00,-0.241435,ASSET_A,volatile,long,SYNTHETIC_EXAMPLE,backtest
2025-01-07 12:00:00+00:00,0.65533,ASSET_B,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-08 00:00:00+00:00,-0.820082,ASSET_C,calm,long,SYNTHETIC_EXAMPLE,backtest
2025-01-08 12:00:00+00:00,1.059479,ASSET_A,calm,short,SYNTHETIC_EXAMPLE,backtest
2025-01-09 00:00:00+00:00,0.940267,ASSET_B,volatile,long,SYNTHETIC_EXAMPLE,backtest
